,source,target,junction,length,maxspeed,access,name,width,lanes,oneway,bridge,osmid,geometry,tunnel,ref,highway
0,1501364225,1402613311,,14.888,50,,Brasserskade,,1,True,,136852791,,,,unclassified
1,1501364225,1501364218,,86.03,50,,Brasserskade,,3,True,,136852797,"LINESTRING (4.362211 52.0275607, 4.3622056 52.0275117, 4.3621941 52.0274669, 4.3621494 52.0274255, 4.3614682 52.0269558)",,,secondary
2,1269112834,626146739,,229.396,50,,Pierre van Hauwelaan,,1,True,yes,"[131635875, 812784588, 131635877]","LINESTRING (4.3500691 51.9964222, 4.3492182 51.9962692, 4.3484433 51.9961316, 4.3483164 51.9961136, 4.3477259 51.9960042, 4.3468533 51.9958435)",,,tertiary
3,44875780,44875431,,22.932,15,,Vernieuwde Boogerd,,,False,,7538524,,,,living_street
4,44875780,1371031431,,55.13,15,,Koningsplein,,,False,,364437785,,,,living_street
5,44875780,3684853380,,219.212,"['30', '15']",,Koningsplein,,,False,,"[364437785, 364437786]","LINESTRING (4.3556362 52.0178722, 4.3565084 52.0178974, 4.3569434 52.0179017, 4.3581906 52.0179327, 4.358453 52.0178917, 4.3585926 52.0178641, 4.3586517 52.0178415, 4.3587134 52.0177958, 4.3587512 52.0177644)",,,"['residential', 'living_street']"
6,44875781,3684853380,,18.364,30,,Geerweg,,,False,,364437783,,,,residential
7,44875781,582000012,,207.06099999999998,30,,"['Oostplantsoen', 'Doelenstraat']",,,False,yes,"[45671392, 334657874, 430859363, 45671390]","LINESTRING (4.3589706 52.0178595, 4.3591159 52.0177643, 4.3595054 52.0174985, 4.359915 52.0171979, 4.3603664 52.0168267, 4.3605231 52.0166998, 4.3606614 52.0165828, 4.3607145 52.0165395, 4.3607045 52.0164847, 4.3606443 52.0163873)",,,residential
8,44875781,1371031524,,191.20099999999996,30,,"['Oostplantsoen', 'Nieuwe Plantage']",,,False,,"[223412106, 334658371, 64526869]","LINESTRING (4.3589706 52.0178595, 4.3587635 52.0179861, 4.3582317 52.0182844, 4.3580655 52.018343, 4.3579781 52.0183573, 4.3577254 52.0183824, 4.3575051 52.018388, 4.3564818 52.0183619)",,,residential
9,1516978187,44771638,,413.709,"['60', '30']",,"['Zwembadpad', 'Kerkpolderweg']",,,False,,"[426352672, 426352346, 138360211, 338213891]","LINESTRING (4.3321501 51.9913443, 4.3320832 51.9915153, 4.3320639 51.9915645, 4.3324442 51.9916396, 4.3325212 51.9916569, 4.3327 51.9917, 4.3328 51.9918, 4.3328675 51.9920057, 4.3329 51.9927, 4.333 51.9931, 4.3329617 51.9934304, 4.3329871 51.9935712, 4.3330763 51.9936686, 4.3332116 51.9937318, 4.3339423 51.9937841, 4.3343684 51.9938533, 4.3347411 51.9939209)",,,unclassified
10,1516978187,1516978174,,29.156,60,,Kerkpolderweg,,,False,,426352346,"LINESTRING (4.3321501 51.9913443, 4.3319491 51.9913109, 4.3317386 51.9912769)",,,unclassified
