,repl,p,day,mean,std
0,0,0.65,0,2.5130742049469963,2.264189088503129
1,0,0.65,1,3.2800769971126083,2.8884087759919708
2,0,0.65,2,3.6566037735849055,3.175728340728061
3,0,0.65,3,3.8583516139141336,3.332841000033052
4,0,0.65,4,3.956807511737089,3.4057687734493647
5,0,0.65,5,3.998125,3.436467938791512
6,0,0.65,6,4.01875,3.4520280043649216
7,0,0.65,7,4.025625,3.455151806723164
8,0,0.65,8,4.028125,3.457212617715141
9,0,0.65,9,4.029375,3.4576542862884065
10,0,0.65,10,4.030625,3.458999287459753
11,0,0.65,11,4.030625,3.458999287459753
12,0,0.65,12,4.03125,3.4594455283399257
13,0,0.65,13,4.03125,3.4594455283399257
14,0,0.65,14,4.03125,3.4594455283399257
15,0,0.65,15,4.03125,3.4594455283399257
16,0,0.65,16,4.03125,3.4594455283399257
17,0,0.65,17,4.03125,3.4594455283399257
18,0,0.65,18,4.03125,3.4594455283399257
19,0,0.65,19,4.03125,3.4594455283399257
20,0,0.65,20,4.03125,3.4594455283399257
21,0,0.65,21,4.03125,3.4594455283399257
22,0,0.65,22,4.03125,3.4594455283399257
23,0,0.65,23,4.03125,3.4594455283399257
24,0,0.65,24,4.03125,3.4594455283399257
25,0,0.65,25,4.03125,3.4594455283399257
26,0,0.65,26,4.03125,3.4594455283399257
27,0,0.65,27,4.03125,3.4594455283399257
28,0,0.65,28,4.03125,3.4594455283399257
29,0,0.65,29,4.03125,3.4594455283399257
30,0,0.65,30,4.03125,3.4594455283399257
31,0,0.65,31,4.03125,3.4594455283399257
32,0,0.65,32,4.03125,3.4594455283399257
33,0,0.65,33,4.03125,3.4594455283399257
34,0,0.65,34,4.03125,3.4594455283399257
35,0,0.65,35,4.03125,3.4594455283399257
36,0,0.65,36,4.03125,3.4594455283399257
37,0,0.65,37,4.03125,3.4594455283399257
38,0,0.65,38,4.03125,3.4594455283399257
39,0,0.65,39,4.03125,3.4594455283399257
40,0,0.65,40,4.03125,3.4594455283399257
41,0,0.65,41,4.03125,3.4594455283399257
42,0,0.65,42,4.03125,3.4594455283399257
43,0,0.65,43,4.03125,3.4594455283399257
44,0,0.65,44,4.03125,3.4594455283399257
45,0,0.65,45,4.03125,3.4594455283399257
46,0,0.65,46,4.03125,3.4594455283399257
47,0,0.65,47,4.03125,3.4594455283399257
48,0,0.65,48,4.03125,3.4594455283399257
49,0,0.65,49,4.03125,3.4594455283399257
50,0,0.7,0,2.480647431386348,2.1995996250770955
51,0,0.7,1,3.2655038759689923,2.853773728876047
52,0,0.7,2,3.6476190476190475,3.1539748013560294
53,0,0.7,3,3.8399240746599177,3.295614730202807
54,0,0.7,4,3.9280983916745504,3.364389803318819
55,0,0.7,5,3.984247006931317,3.40867122282413
56,0,0.7,6,4.015748031496063,3.429697786338616
57,0,0.7,7,4.033385826771654,3.4386540785894435
58,0,0.7,8,4.0390551181102365,3.440792630678694
59,0,0.7,9,4.045354330708661,3.443461287488267
60,0,0.7,10,4.05478589420655,3.449270937660358
61,0,0.7,11,4.057934508816121,3.450588905592
62,0,0.7,12,4.05919395465995,3.4522101347764456
63,0,0.7,13,4.0604534005037785,3.4538301435514986
64,0,0.7,14,4.061712846347607,3.4546284954552346
65,0,0.7,15,4.061712846347607,3.4546284954552346
66,0,0.7,16,4.061712846347607,3.4546284954552346
67,0,0.7,17,4.061712846347607,3.4546284954552346
68,0,0.7,18,4.061712846347607,3.4546284954552346
69,0,0.7,19,4.061712846347607,3.4546284954552346
70,0,0.7,20,4.061712846347607,3.4546284954552346
71,0,0.7,21,4.061712846347607,3.4546284954552346
72,0,0.7,22,4.061712846347607,3.4546284954552346
73,0,0.7,23,4.061712846347607,3.4546284954552346
74,0,0.7,24,4.061712846347607,3.4546284954552346
75,0,0.7,25,4.061712846347607,3.4546284954552346
76,0,0.7,26,4.061712846347607,3.4546284954552346
77,0,0.7,27,4.061712846347607,3.4546284954552346
78,0,0.7,28,4.061712846347607,3.4546284954552346
79,0,0.7,29,4.061712846347607,3.4546284954552346
80,0,0.7,30,4.061712846347607,3.4546284954552346
81,0,0.7,31,4.061712846347607,3.4546284954552346
82,0,0.7,32,4.061712846347607,3.4546284954552346
83,0,0.7,33,4.061712846347607,3.4546284954552346
84,0,0.7,34,4.061712846347607,3.4546284954552346
85,0,0.7,35,4.061712846347607,3.4546284954552346
86,0,0.7,36,4.061712846347607,3.4546284954552346
87,0,0.7,37,4.061712846347607,3.4546284954552346
88,0,0.7,38,4.061712846347607,3.4546284954552346
89,0,0.7,39,4.061712846347607,3.4546284954552346
90,0,0.7,40,4.061712846347607,3.4546284954552346
91,0,0.7,41,4.061712846347607,3.4546284954552346
92,0,0.7,42,4.061712846347607,3.4546284954552346
93,0,0.7,43,4.061712846347607,3.4546284954552346
94,0,0.7,44,4.061712846347607,3.4546284954552346
95,0,0.7,45,4.061712846347607,3.4546284954552346
96,0,0.7,46,4.061712846347607,3.4546284954552346
97,0,0.7,47,4.061712846347607,3.4546284954552346
98,0,0.7,48,4.061712846347607,3.4546284954552346
99,0,0.7,49,4.061712846347607,3.4546284954552346
100,0,0.75,0,2.4512964260686756,2.1693730733667826
101,0,0.75,1,3.185305591677503,2.788383324638121
102,0,0.75,2,3.525911708253359,3.0751338781461324
103,0,0.75,3,3.7211966900063653,3.2026815561485504
104,0,0.75,4,3.838197969543147,3.2771813792640545
105,0,0.75,5,3.9067850348763473,3.329680592989847
106,0,0.75,6,3.9506329113924052,3.365857411891028
107,0,0.75,7,3.9734429339234905,3.3856007741108827
108,0,0.75,8,3.993046776232617,3.39197351986911
109,0,0.75,9,4.025916561314792,3.421948222437715
110,0,0.75,10,4.037926675094817,3.423683521010026
111,0,0.75,11,4.047408343868521,3.4302078474681434
112,0,0.75,12,4.058786346396966,3.441074620379416
113,0,0.75,13,4.066371681415929,3.4451605460073433
114,0,0.75,14,4.067003792667509,3.4449647648095274
115,0,0.75,15,4.0695322376738305,3.445832266486752
116,0,0.75,16,4.073957016434893,3.4496832140069067
117,0,0.75,17,4.073957016434893,3.4496832140069067
118,0,0.75,18,4.075221238938053,3.4502057169755482
119,0,0.75,19,4.075853350189633,3.45000860015123
120,0,0.75,20,4.076485461441214,3.451277353525094
121,0,0.75,21,4.076485461441214,3.451277353525094
122,0,0.75,22,4.076485461441214,3.451277353525094
123,0,0.75,23,4.076485461441214,3.451277353525094
124,0,0.75,24,4.076485461441214,3.451277353525094
125,0,0.75,25,4.076485461441214,3.451277353525094
126,0,0.75,26,4.076485461441214,3.451277353525094
127,0,0.75,27,4.076485461441214,3.451277353525094
128,0,0.75,28,4.076485461441214,3.451277353525094
129,0,0.75,29,4.076485461441214,3.451277353525094
