,origin,destination,treq,tdep,ttrav,tarr,tdrop,dist,pax_id,platform
2754,46263361,1439220984,2020-10-02 09:01:45.198411,,0 days 01:32:05.000000000,2020-10-02 10:33:50.198411,,5525,2754,0
3000,46177245,5830440708,2020-10-02 09:01:46.198411,,0 days 01:37:14.000000000,2020-10-02 10:39:00.198411,,5834,3000,0
1873,1032858478,46342008,2020-10-02 09:01:59.198411,,0 days 01:32:08.000000000,2020-10-02 10:34:07.198411,,5528,1873,0
1935,3307341843,4502050366,2020-10-02 09:02:00.198411,,0 days 00:56:33.000000000,2020-10-02 09:58:33.198411,,3393,1935,0
1661,1491904231,1318851540,2020-10-02 09:02:01.198411,,0 days 01:53:29.000000000,2020-10-02 10:55:30.198411,,6809,1661,0
1986,46235165,5830440708,2020-10-02 09:02:01.198411,,0 days 01:24:02.000000000,2020-10-02 10:26:03.198411,,5042,1986,0
2204,46326732,46371986,2020-10-02 09:02:18.198411,,0 days 00:48:43.000000000,2020-10-02 09:51:01.198411,,2923,2204,0
2284,46274383,46458123,2020-10-02 09:02:32.198411,,0 days 01:30:06.000000000,2020-10-02 10:32:38.198411,,5406,2284,0
2131,46298484,1624052875,2020-10-02 09:02:32.198411,,0 days 00:58:02.000000000,2020-10-02 10:00:34.198411,,3482,2131,0
2278,46530423,722976570,2020-10-02 09:02:33.198411,,0 days 02:04:18.000000000,2020-10-02 11:06:51.198411,,7458,2278,0
1883,46527017,1057884977,2020-10-02 09:02:39.198411,,0 days 02:45:38.000000000,2020-10-02 11:48:17.198411,,9938,1883,0
1240,46301016,46340763,2020-10-02 09:02:40.198411,,0 days 01:29:05.000000000,2020-10-02 10:31:45.198411,,5345,1240,0
531,3301285112,46395625,2020-10-02 09:02:47.198411,,0 days 00:52:27.000000000,2020-10-02 09:55:14.198411,,3147,531,0
935,84486707,1595305980,2020-10-02 09:02:55.198411,,0 days 00:55:55.000000000,2020-10-02 09:58:50.198411,,3355,935,0
2113,558702081,46332984,2020-10-02 09:02:58.198411,,0 days 00:54:26.000000000,2020-10-02 09:57:24.198411,,3266,2113,0
1385,46380118,46391320,2020-10-02 09:03:00.198411,,0 days 01:30:31.000000000,2020-10-02 10:33:31.198411,,5431,1385,0
2595,46415905,46412187,2020-10-02 09:03:01.198411,,0 days 00:44:54.000000000,2020-10-02 09:47:55.198411,,2694,2595,0
1429,46317817,46370376,2020-10-02 09:03:01.198411,,0 days 00:49:48.000000000,2020-10-02 09:52:49.198411,,2988,1429,0
2894,504930948,46424805,2020-10-02 09:03:05.198411,,0 days 02:15:04.000000000,2020-10-02 11:18:09.198411,,8104,2894,0
