,indexes,u_pax,u_veh,kind,u_paxes,times,indexes_orig,indexes_dest,degree,index
0,[0],10.7025,690,1,[10.7025],"[0, 690]",[0],[0],1.0,0
1,[1],11.302499999999998,729,1,[11.302499999999998],"[1, 729]",[1],[1],1.0,1
2,[2],10.7105,691,1,[10.7105],"[14, 691]",[2],[2],1.0,2
3,[3],6.5735,424,1,[6.5735],"[15, 424]",[3],[3],1.0,3
4,[4],13.192,851,1,[13.192],"[16, 851]",[4],[4],1.0,4
5,[5],9.768,630,1,[9.768],"[16, 630]",[5],[5],1.0,5
6,[6],5.662,365,1,[5.662],"[33, 365]",[6],[6],1.0,6
7,[7],6.7455,435,1,[6.7455],"[47, 435]",[7],[7],1.0,7
8,[8],10.4715,675,1,[10.4715],"[47, 675]",[8],[8],1.0,8
9,[9],14.449,932,1,[14.449],"[48, 932]",[9],[9],1.0,9
10,[10],19.254,1242,1,[19.254],"[54, 1242]",[10],[10],1.0,10
11,[11],10.3555,668,1,[10.3555],"[55, 668]",[11],[11],1.0,11
12,[12],6.096,393,1,[6.096],"[62, 393]",[12],[12],1.0,12
13,[13],6.499,419,1,[6.499],"[70, 419]",[13],[13],1.0,13
14,[14],6.327,408,1,[6.327],"[73, 408]",[14],[14],1.0,14
15,[15],10.5195,678,1,[10.5195],"[75, 678]",[15],[15],1.0,15
16,[16],5.7875000000000005,373,1,[5.7875000000000005],"[76, 373]",[16],[16],1.0,16
17,[17],5.2170000000000005,336,1,[5.2170000000000005],"[76, 336]",[17],[17],1.0,17
18,[18],15.701500000000001,1013,1,[15.701500000000001],"[80, 1013]",[18],[18],1.0,18
19,[19],8.002500000000001,516,1,[8.002500000000001],"[81, 516]",[19],[19],1.0,19
20,[20],2.066,133,1,[2.066],"[88, 133]",[20],[20],1.0,20
21,[21],4.18,269,1,[4.18],"[93, 269]",[21],[21],1.0,21
22,[22],9.7445,628,1,[9.7445],"[100, 628]",[22],[22],1.0,22
23,[23],1.855,119,1,[1.855],"[101, 119]",[23],[23],1.0,23
24,[24],18.727,1208,1,[18.727],"[104, 1208]",[24],[24],1.0,24
25,[25],6.031000000000001,389,1,[6.031000000000001],"[104, 389]",[25],[25],1.0,25
26,[26],7.8365,505,1,[7.8365],"[108, 505]",[26],[26],1.0,26
27,[27],6.2725,404,1,[6.2725],"[110, 404]",[27],[27],1.0,27
28,[28],10.1445,654,1,[10.1445],"[111, 654]",[28],[28],1.0,28
29,[29],3.1790000000000003,205,1,[3.1790000000000003],"[111, 205]",[29],[29],1.0,29
30,[30],7.4105,478,1,[7.4105],"[119, 478]",[30],[30],1.0,30
31,[31],0.863,55,1,[0.863],"[124, 55]",[31],[31],1.0,31
32,[32],9.827,634,1,[9.827],"[126, 634]",[32],[32],1.0,32
33,[33],3.193,206,1,[3.193],"[142, 206]",[33],[33],1.0,33
34,[34],7.1715,462,1,[7.1715],"[147, 462]",[34],[34],1.0,34
35,[35],4.3725,282,1,[4.3725],"[147, 282]",[35],[35],1.0,35
36,[36],6.2635,404,1,[6.2635],"[148, 404]",[36],[36],1.0,36
37,[37],2.365,152,1,[2.365],"[162, 152]",[37],[37],1.0,37
38,[38],13.6025,877,1,[13.6025],"[165, 877]",[38],[38],1.0,38
39,[39],3.712,239,1,[3.712],"[171, 239]",[39],[39],1.0,39
40,[40],10.064,649,1,[10.064],"[171, 649]",[40],[40],1.0,40
41,[41],8.975999999999999,579,1,[8.975999999999999],"[176, 579]",[41],[41],1.0,41
42,[42],4.284,276,1,[4.284],"[176, 276]",[42],[42],1.0,42
43,[43],6.6665,430,1,[6.6665],"[183, 430]",[43],[43],1.0,43
44,[44],4.800000000000001,309,1,[4.800000000000001],"[185, 309]",[44],[44],1.0,44
45,[45],11.828000000000001,763,1,[11.828000000000001],"[189, 763]",[45],[45],1.0,45
46,[46],6.432500000000001,415,1,[6.432500000000001],"[191, 415]",[46],[46],1.0,46
47,[47],1.945,125,1,[1.945],"[191, 125]",[47],[47],1.0,47
48,[48],8.303,535,1,[8.303],"[194, 535]",[48],[48],1.0,48
49,[49],6.3795,411,1,[6.3795],"[199, 411]",[49],[49],1.0,49
50,[50],4.3615,281,1,[4.3615],"[212, 281]",[50],[50],1.0,50
51,[51],7.6105,491,1,[7.6105],"[220, 491]",[51],[51],1.0,51
52,[52],1.9605000000000001,126,1,[1.9605000000000001],"[221, 126]",[52],[52],1.0,52
53,[53],2.7634999999999996,178,1,[2.7634999999999996],"[225, 178]",[53],[53],1.0,53
54,[54],16.7415,1080,1,[16.7415],"[227, 1080]",[54],[54],1.0,54
55,[55],9.6655,623,1,[9.6655],"[228, 623]",[55],[55],1.0,55
56,[56],5.203,335,1,[5.203],"[229, 335]",[56],[56],1.0,56
57,[57],6.7285,434,1,[6.7285],"[230, 434]",[57],[57],1.0,57
58,[58],9.244,596,1,[9.244],"[235, 596]",[58],[58],1.0,58
59,[59],10.34,667,1,[10.34],"[248, 667]",[59],[59],1.0,59
60,[60],5.8075,374,1,[5.8075],"[267, 374]",[60],[60],1.0,60
61,[61],12.276,792,1,[12.276],"[273, 792]",[61],[61],1.0,61
62,[62],7.859999999999999,507,1,[7.859999999999999],"[273, 507]",[62],[62],1.0,62
63,[63],2.176,140,1,[2.176],"[283, 140]",[63],[63],1.0,63
64,[64],3.8595,249,1,[3.8595],"[288, 249]",[64],[64],1.0,64
65,[65],13.8785,895,1,[13.8785],"[290, 895]",[65],[65],1.0,65
66,[66],10.3615,668,1,[10.3615],"[294, 668]",[66],[66],1.0,66
67,[67],12.146999999999998,783,1,[12.146999999999998],"[299, 783]",[67],[67],1.0,67
68,[68],5.6575,365,1,[5.6575],"[300, 365]",[68],[68],1.0,68
69,[69],14.4955,935,1,[14.4955],"[303, 935]",[69],[69],1.0,69
70,[70],10.0205,646,1,[10.0205],"[310, 646]",[70],[70],1.0,70
71,[71],11.969,772,1,[11.969],"[311, 772]",[71],[71],1.0,71
72,[72],11.1755,721,1,[11.1755],"[312, 721]",[72],[72],1.0,72
73,[73],10.3955,670,1,[10.3955],"[319, 670]",[73],[73],1.0,73
74,[74],9.892,638,1,[9.892],"[333, 638]",[74],[74],1.0,74
75,[75],5.4959999999999996,354,1,[5.4959999999999996],"[335, 354]",[75],[75],1.0,75
76,[76],11.183,721,1,[11.183],"[335, 721]",[76],[76],1.0,76
77,[77],13.179499999999999,850,1,[13.179499999999999],"[342, 850]",[77],[77],1.0,77
78,[78],8.776,566,1,[8.776],"[352, 566]",[78],[78],1.0,78
79,[79],5.7364999999999995,370,1,[5.7364999999999995],"[353, 370]",[79],[79],1.0,79
80,[80],15.748000000000001,1016,1,[15.748000000000001],"[356, 1016]",[80],[80],1.0,80
81,[81],7.3405,473,1,[7.3405],"[359, 473]",[81],[81],1.0,81
82,[82],5.8945,380,1,[5.8945],"[359, 380]",[82],[82],1.0,82
83,[83],4.8405000000000005,312,1,[4.8405000000000005],"[359, 312]",[83],[83],1.0,83
