,index,origin,destination,treq,tdep,ttrav,tarr,tdrop,dist,pax_id,platform,VoT,delta,u,u_PT
0,2754,46263361,1439220984,0,,690,2020-10-02 10:33:50.198411,,5525,2754,0,0.0035,171.90476190476193,10.7025,999999
1,3000,46177245,5830440708,1,,729,2020-10-02 10:39:00.198411,,5834,3000,0,0.0035,181.4126984126984,11.302499999999998,999999
2,1873,1032858478,46342008,14,,691,2020-10-02 10:34:07.198411,,5528,1873,0,0.0035,171.83597883597886,10.7105,999999
3,1935,3307341843,4502050366,15,,424,2020-10-02 09:58:33.198411,,3393,1935,0,0.0035,105.50264550264554,6.5735,999999
4,1661,1491904231,1318851540,16,,851,2020-10-02 10:55:30.198411,,6809,1661,0,0.0035,211.68783068783074,13.192,999999
5,1986,46235165,5830440708,16,,630,2020-10-02 10:26:03.198411,,5042,1986,0,0.0035,156.79365079365078,9.768,999999
6,2204,46326732,46371986,33,,365,2020-10-02 09:51:01.198411,,2923,2204,0,0.0035,90.95767195767198,5.662,999999
7,2131,46298484,1624052875,47,,435,2020-10-02 10:00:34.198411,,3482,2131,0,0.0035,108.30158730158732,6.7455,999999
8,2284,46274383,46458123,47,,675,2020-10-02 10:32:38.198411,,5406,2284,0,0.0035,168.2380952380952,10.4715,999999
9,2278,46530423,722976570,48,,932,2020-10-02 11:06:51.198411,,7458,2278,0,0.0035,231.89417989417996,14.449,999999
10,1883,46527017,1057884977,54,,1242,2020-10-02 11:48:17.198411,,9938,1883,0,0.0035,308.98412698412704,19.254,999999
11,1240,46301016,46340763,55,,668,2020-10-02 10:31:45.198411,,5345,1240,0,0.0035,166.17989417989418,10.3555,999999
12,531,3301285112,46395625,62,,393,2020-10-02 09:55:14.198411,,3147,531,0,0.0035,97.92063492063495,6.096,999999
13,935,84486707,1595305980,70,,419,2020-10-02 09:58:50.198411,,3355,935,0,0.0035,104.3862433862434,6.499,999999
14,2113,558702081,46332984,73,,408,2020-10-02 09:57:24.198411,,3266,2113,0,0.0035,101.58730158730162,6.327,999999
15,1385,46380118,46391320,75,,678,2020-10-02 10:33:31.198411,,5431,1385,0,0.0035,169.04761904761907,10.5195,999999
16,1429,46317817,46370376,76,,373,2020-10-02 09:52:49.198411,,2988,1429,0,0.0035,93.010582010582,5.7875000000000005,999999
17,2595,46415905,46412187,76,,336,2020-10-02 09:47:55.198411,,2694,2595,0,0.0035,83.93650793650794,5.2170000000000005,999999
18,2894,504930948,46424805,80,,1013,2020-10-02 11:18:09.198411,,8104,2894,0,0.0035,251.91005291005297,15.701500000000001,999999
19,143,5002844330,46372266,81,,516,2020-10-02 10:11:57.198411,,4131,143,0,0.0035,128.50793650793653,8.002500000000001,999999
20,2013,46401214,46375508,88,,133,2020-10-02 09:21:00.198411,,1067,2013,0,0.0035,33.26455026455026,2.066,999999
