sigma,VehHourTrav,VehHourTrav_ns,PassHourTrav,PassHourTrav_ns,PassUtility,PassUtility_ns,Veh_Lambda_R,Veh_Discount,shared_fares,full_fares,revenue_s,revenue_ns,Fare_Discount,nR,SINGLE,PAIRS,TRIPLES,QUADRIPLES,QUINTETS,PLUS5,shared_ratio,fleet_size_nonshared,fleet_size_shared,lambda_shared,_typ,_subtyp
0,1144556,1242873,1386481,1242873,16084.986125,19279.8675,0.14542209732040995,0.08295540167350246,1155549.525,86541.0,1242090.525,1864309.5,-0.3337530463691784,3000,549,1203,15,0,0,0,0.8170000000000001,346.0,280.0,0.08295540167350246,,
1,1144556,1242873,1386481,1242873,16084.986125,19279.8675,0.14542209732040995,0.08295540167350246,1155549.525,86541.0,1242090.525,1864309.5,-0.3337530463691784,3000,549,1203,15,0,0,0,0.8170000000000001,346.0,280.0,0.08295540167350246,,
2,1144556,1242873,1386481,1242873,16084.986125,19279.8675,0.14542209732040995,0.08295540167350246,1155549.525,86541.0,1242090.525,1864309.5,-0.3337530463691784,3000,549,1203,15,0,0,0,0.8170000000000001,346.0,280.0,0.08295540167350246,,
3,1144783,1242873,1386460,1242873,16085.071175,19279.8675,0.14587718204793887,0.08279069374870762,1155175.125,87117.0,1242292.125,1864309.5,-0.33364490981781725,3000,553,1204,13,0,0,0,0.8156666666666667,346.0,281.0,0.08279069374870762,,
4,1147398,1242873,1385594,1242873,16085.62085,19279.8675,0.14716850142384225,0.0806386905239509,1154385.375,88332.0,1242717.375,1864309.5,-0.3334168092797897,3000,561,1206,9,0,0,0,0.813,346.0,285.0,0.0806386905239509,,
5,1145993,1242873,1383421,1242873,16086.932125,19279.8675,0.15171802970080647,0.08204204061792353,1151336.55,93022.5,1244359.05,1864309.5,-0.33253622856076204,3000,581,1202,5,0,0,0,0.8063333333333333,346.0,284.0,0.08204204061792353,,
6,1147842,1242873,1382942,1242873,16088.88985,19279.8675,0.15382372587363544,0.08059970365947466,1149572.775,95736.0,1245308.775,1864309.5,-0.3320268040258336,3000,593,1202,1,0,0,0,0.8023333333333333,346.0,286.0,0.08059970365947466,,
7,1146282,1242873,1382668,1242873,16089.389125000003,19279.8675,0.1553740095452222,0.0820043875586225,1148429.1,97495.5,1245924.6,1864309.5,-0.3316964806540973,3000,603,1197,1,0,0,0,0.7989999999999999,346.0,287.0,0.0820043875586225,,
8,1145093,1242873,1381443,1242873,16092.50185,19279.8675,0.16011324745820946,0.08318204941922291,1146106.65,101068.5,1247175.15,1864309.5,-0.3310256961089346,3000,626,1187,0,0,0,0,0.7913333333333333,346.0,286.0,0.08318204941922291,,
9,1142560,1242873,1379051,1242873,16095.846625,19279.8675,0.16632857184993802,0.08567382743274021,1141599.225,108003.0,1249602.225,1864309.5,-0.3297238334085622,3000,660,1170,0,0,0,0,0.78,346.0,285.0,0.08567382743274021,,
10,1140910,1242873,1377271,1242873,16100.393825,19279.8675,0.17245059294315654,0.08749838026349999,1136180.175,116340.0,1252520.175,1864309.5,-0.3281586694698493,3000,696,1152,0,0,0,0,0.768,346.0,288.0,0.08749838026349999,,
11,1140033,1242873,1375637,1242873,16105.8204,19279.8675,0.17791882388085786,0.08865417887558158,1131012.675,124290.0,1255302.675,1864309.5,-0.3266661597765821,3000,730,1135,0,0,0,0,0.7566666666666666,346.0,289.0,0.08865417887558158,,
